ID REGISTRO,ID PUNTO DE VENTA,NOMBRE PV,ID ASESOR,NOMBRE ASESOR,FECHA VISITA,ENCUESTA ID,NOMBRE ENCUESTA,SECCION,ORDEN SECCION,PRODUCTO,FRECUENCIA_CONSUMO,PRECIO_ADECUADO,LE_GUSTO_PRODUCTO,FECHA_VENCIMIENTO,CANTIDAD_VENDIDA,CANT_PROXIMA_VENCER
53308750,2271254,EURO CIUDAD DEL PARQUE,179160,MERCADERISTA ANTIOQUIA 1,2024-01-02,25111,FECHAS CORTAS,DULCE DE GUAYABA,7,DULCE DE GUAYABA 25 UND,,,,2024-01-29,0,10
53311224,2271251,EURO BARBOSA,179160,MERCADERISTA ANTIOQUIA 1,2024-01-02,25111,FECHAS CORTAS,SALSAS,9,MAYONESA 400 GR,,,,2023-12-22,0,2
53312921,2273618,MULTIMERCA.,179160,MERCADERISTA ANTIOQUIA 1,2024-01-02,25111,FECHAS CORTAS,SALSAS,9,SALSA ROSADA 200 GR,,,,2024-01-28,0,10
53316989,2273908,MERCADO NUEVO SOL,179160,MERCADERISTA ANTIOQUIA 1,2024-01-02,25111,FECHAS CORTAS,DULCE DE GUAYABA,7,DULCE DE GUAYABA 25 UND,,,,2024-03-18,0,3
53325281,2272468,SUPERMERCADO MI TIA Y YO,179178,IMPULSO SANTANDER 2,2024-01-03,25111,FECHAS CORTAS,CAFÉ,4,CAFÉ GRANULADO 50 GR 10 UND CAJA,,,,2024-02-18,0,18
53325281,2272468,SUPERMERCADO MI TIA Y YO,179178,IMPULSO SANTANDER 2,2024-01-03,25111,FECHAS CORTAS,COMPOTAS,5,COMPOTA PERA 90 GR,,,,2024-02-18,0,18
53326994,2271258,EURO ITAGUI.,179160,MERCADERISTA ANTIOQUIA 1,2024-01-03,25111,FECHAS CORTAS,SALSAS,9,MERMELADA DE PIÑA 200 GR,,,,2024-01-03,0,1
53328179,2273910,MERCADO SAN PEDRO REAL,179160,MERCADERISTA ANTIOQUIA 1,2024-01-03,25111,FECHAS CORTAS,COMPOTAS,5,COMPOTA MANZANA 90 GR,,,,2024-02-02,0,15
53348297,2271486,SUPERMERCADO LOS MONTES #3,179178,IMPULSO SANTANDER 2,2024-01-04,25111,FECHAS CORTAS,DULCE DE GUAYABA,7,DULCE DE GUAYABA BARRA 300 GR,,,,2024-01-22,0,6
53350935,2275760,SUPERMERCADO BE TEL PLUSS,179178,IMPULSO SANTANDER 2,2024-01-04,25111,FECHAS CORTAS,CAFÉ,4,CAFÉ SELECTO MOLIDO 454 GR,,,,2024-01-16,0,14
