ID PUNTO DE VENTA,PUNTO DE VENTA,ID SAP,PAÍS,ID REGIONAL,REGIONAL,DEPARTAMENTO,ID CIUDAD,CIUDAD,CEDI,ID ZONA,LATITUD,LONGITUD,ID CANAL,CANAL,ID SUBCANAL,SUBCANAL,ID TIPOLOGÍA,TIPOLOGÍA,ID CADENA,CADENA,ID SEGMENTO,SEGMENTO,ESTADO,DIRECCIÓN,ID BARRIO,BARRIO,CLIENTE ID,CLIENTE,ESTADO ASOC CLIENTE,ID LAB
2270547,0ST 4741 SURTIMAYORISTA BOSTON,101020709.0,COLOMBIA,39380002,COSTA,ATLÁNTICO,8001,BARRANQUILLA,POSTOBON BARRANQUILLA,,4.646372,-74.155763,224426,GRANDES CUENTAS,228106,SURTIMAYORISTA,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,281144,SURTIMAYORISTA,ACTIVO,KR 43 58 23,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,101020709.0
2270548,140 AVENIDA TERCERA NORTE,103143995.0,COLOMBIA,39380003,OCCIDENTE,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,POSTOBON YUMBO,,4.646097,-74.156477,224426,GRANDES CUENTAS,286297,OLIMPICA,308956,NO APLICA   ,2355,OLIMPICA S.A,193987,STO,ACTIVO,AV 3 RTE 57N 100,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,103143995.0
2270549,163 - PLATAFORMA ANCHETERIA CALI,103148161.0,COLOMBIA,39380003,OCCIDENTE,VALLE DEL CAUCA,76892,YUMBO,POSTOBON YUMBO,,3.5029763,-76.5026192,224426,GRANDES CUENTAS,285142,CENCOSUD,308956,NO APLICA   ,1955,CENCOSUD,268637,CENCOSUD,ACTIVO,KR 35 A 16 80 BG 9 PQ INDUST CORTIJ,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,103148161.0
2270550,3T 575 CAICEDONIA,113018212.0,COLOMBIA,39380003,OCCIDENTE,QUINDÍO,63001,ARMENIA,POSTOBON YUMBO,,4.3341162,-75.8294697,224426,GRANDES CUENTAS,286297,OLIMPICA,308956,NO APLICA   ,2355,OLIMPICA S.A,193987,STO,ACTIVO,CL 12 15 17,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,113018212.0
2270551,4039 EXITO UNICENTRO GIRARDOT,927004995.0,COLOMBIA,39380004,ANTIOQUIA,CUNDINAMARCA,25307,GIRARDOT,CEDI Ricaurte,,4.307788,-74.797767,224426,GRANDES CUENTAS,286299,EXITO,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,301986,EXITO,ACTIVO,KR 7 A 33 77 LC 199,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,927004995.0
2270552,4041 EXITO MALAMBO,101012382.0,COLOMBIA,39380002,COSTA,ATLÁNTICO,8001,BARRANQUILLA,POSTOBON BARRANQUILLA,,4.596558,-74.147303,224426,GRANDES CUENTAS,286299,EXITO,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,301986,EXITO,ACTIVO,DIG 18 17 51,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,101012382.0
2270553,4070 EXITO GARDEL,106073184.0,COLOMBIA,39380004,ANTIOQUIA,ANTIOQUIA,5001,MEDELLIN,POSTOBON BELLO,,4.596533,-74.147342,224426,GRANDES CUENTAS,286299,EXITO,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,301986,EXITO,ACTIVO,KR 45 72 ESQ,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,106073184.0
2270554,4439 TURBO CARULLA BELLO,106059727.0,COLOMBIA,39380004,ANTIOQUIA,ANTIOQUIA,5088,BELLO,POSTOBON BELLO,,4.596453,-74.1475,224426,GRANDES CUENTAS,285958,CARULLA,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,301982,CARULLA,ACTIVO,DG 56 45 A 02,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,106059727.0
2270555,4734 SURTIMAYORISTA GIRARDOT,927005136.0,COLOMBIA,39380004,ANTIOQUIA,CUNDINAMARCA,25307,GIRARDOT,CEDI Ricaurte,,4.2928259,-74.8081944,224426,GRANDES CUENTAS,228106,SURTIMAYORISTA,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,281144,SURTIMAYORISTA,ACTIVO,KR 10 12 01,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,927005136.0
2270556,4829 CARULLA EXPRESS DIVINA EUCARISTIA,106063003.0,COLOMBIA,39380004,ANTIOQUIA,ANTIOQUIA,5001,MEDELLIN,POSTOBON BELLO,,6.16053,-75.59555,224426,GRANDES CUENTAS,287184,CARULLA EXPRESS,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,287183,CARULLA EXPRESS,ACTIVO,KR 36 7 27,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,106063003.0
